Id,Title,Category,Diagram,Interaction,Priority,State,Changed By,Description,Justification,Last Modified
0,Spoofing the ThingsBoard server Process,Spoofing,Mod�le r�seau,HTTP,High,Not Started,,ThingsBoard server may be spoofed by an attacker and this may lead to unauthorized access to ThingsBoard Edge. Consider using a standard authentication mechanism to identify the source process.,,Generated
1,Spoofing the ThingsBoard Edge Process,Spoofing,Mod�le r�seau,HTTP,High,Not Started,,ThingsBoard Edge may be spoofed by an attacker and this may lead to information disclosure by ThingsBoard server. Consider using a standard authentication mechanism to identify the destination process.,,Generated
2,Potential Lack of Input Validation for ThingsBoard Edge,Tampering,Mod�le r�seau,HTTP,High,Not Started,,Data flowing across HTTP may be tampered with by an attacker. This may lead to a denial of service attack against ThingsBoard Edge or an elevation of privilege attack against ThingsBoard Edge or an information disclosure by ThingsBoard Edge. Failure to verify that input is as expected is a root cause of a very large number of exploitable issues. Consider all paths and the way they handle data. Verify that all input is verified for correctness using an approved list input validation approach.,,Generated
3,Replay Attacks,Tampering,Mod�le r�seau,HTTP,High,Not Started,,Packets or messages without sequence numbfers or timestamps can be captured and replayed in a wide variety of ways. Implement or utilize an existing communication protocol that supports anti-replay techniques (investigate sequence numbers before timers) and strong integrity.,,Generated
4,Collision Attacks,Tampering,Mod�le r�seau,HTTP,High,Not Started,,"Attackers who can send a series of packets or messages may be able to overlap data. For example, packet 1 may be 100 bytes starting at offset 0. Packet 2 may be 100 bytes starting at offset 25. Packet 2 will overwrite 75 bytes of packet 1. Ensure you reassemble data before filtering it, and ensure you explicitly handle these sorts of cases.",,Generated
5,Potential Data Repudiation by ThingsBoard Edge,Repudiation,Mod�le r�seau,HTTP,High,Not Started,,"ThingsBoard Edge claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",,Generated
6,Data Flow Sniffing,Information Disclosure,Mod�le r�seau,HTTP,High,Not Started,,"Data flowing across HTTP may be sniffed by an attacker. Depending on what type of data an attacker can read, it may be used to attack other parts of the system or simply be a disclosure of information leading to compliance violations. Consider encrypting the data flow.",,Generated
7,Potential Process Crash or Stop for ThingsBoard Edge,Denial Of Service,Mod�le r�seau,HTTP,High,Not Started,,"ThingsBoard Edge crashes, halts, stops or runs slowly; in all cases violating an availability metric.",,Generated
8,Data Flow HTTP Is Potentially Interrupted,Denial Of Service,Mod�le r�seau,HTTP,High,Not Started,,An external agent interrupts data flowing across a trust boundary in either direction.,,Generated
9,Elevation Using Impersonation,Elevation Of Privilege,Mod�le r�seau,HTTP,High,Not Started,,ThingsBoard Edge may be able to impersonate the context of ThingsBoard server in order to gain additional privilege.,,Generated
10,ThingsBoard Edge May be Subject to Elevation of Privilege Using Remote Code Execution,Elevation Of Privilege,Mod�le r�seau,HTTP,High,Not Started,,ThingsBoard server may be able to remotely execute code for ThingsBoard Edge.,,Generated
11,Elevation by Changing the Execution Flow in ThingsBoard Edge,Elevation Of Privilege,Mod�le r�seau,HTTP,High,Not Started,,An attacker may pass data into ThingsBoard Edge in order to change the flow of program execution within ThingsBoard Edge to the attacker's choosing.,,Generated
